matches_played,goals_for,goals_against,wins,draws,losses,average_attendance,goals_per_match,win_percentage,goal_difference,confederation_AFC,confederation_CAF,confederation_CONCACAF,confederation_CONMEBOL,confederation_OFC,confederation_Other,confederation_UEFA
-0.6629324776797141,-0.7924360205497725,-0.23610911070848847,-0.9894881453672083,1.2020454823015376,-0.6885225492186896,-0.5130113905365002,-0.7890968314079021,-1.2344971724914813,-0.620306905315989,-0.2565749812494094,4.229525846816507,-0.26302545492234575,-0.4815434123430768,0.0,-0.6,-0.7624928516630235
-0.00770851718232223,-0.14632511650439448,-0.23610911070848847,-0.35472216532031997,1.2020454823015376,-0.6885225492186896,-0.19331634165481282,-0.06987934595015428,-0.28137336206051905,0.0006087408295544543,-0.2565749812494094,-0.23643312187173024,3.801913393877543,-0.4815434123430768,0.0,-0.6,-0.7624928516630235
-0.6629324776797141,-0.7924360205497725,0.4559348344715637,-0.9894881453672083,0.10044045808988589,0.5768702439399831,0.42219133360065647,-0.7890968314079021,-1.2344971724914813,-1.034250669413018,3.8974961437410287,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,-0.6,-0.7624928516630235
1.9579633643098535,2.0073778969801985,-0.9281530558885407,2.1843417548672335,0.10044045808988589,-0.6885225492186896,0.9643497755904663,1.0337474851832864,1.487624430099347,2.4842713254117283,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,-0.6,1.3114877048604001
-0.6629324776797141,-0.3616954178528538,0.10991286188153762,-0.35472216532031997,0.10044045808988589,-0.6885225492186896,-1.3521354034349564,0.029323065837121364,0.0350637430025603,-0.4133350232674745,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,-0.6,1.3114877048604001
-0.00770851718232223,-0.14632511650439448,0.10991286188153762,-0.35472216532031997,1.2020454823015376,-0.6885225492186896,0.6710626467692447,-0.06987934595015428,-0.28137336206051905,-0.20636314121896002,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,-0.6,1.3114877048604001
-1.973380398674498,-1.2231766232466912,0.10991286188153762,-0.9894881453672083,-1.0011645661217656,-0.6885225492186896,-1.826983845436968,-1.619917030126335,-1.2344971724914813,-1.2412225514615325,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,1.6666666666666665,-0.7624928516630235
-0.00770851718232223,-0.14632511650439448,0.10991286188153762,0.28004381472656836,-1.0011645661217656,0.5768702439399831,0.9742870594385834,-0.06987934595015428,0.6717504483704432,-0.20636314121896002,3.8974961437410287,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,-0.6,-0.7624928516630235
0.6475154433150697,0.9305263902379022,-1.6201970010685929,1.5495757748203451,0.10044045808988589,-1.9539153423773623,0.3663558768407945,0.8601432645555541,1.815499020887598,1.863355679266185,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,2.0766559657295187,0.0,-0.6,-0.7624928516630235
-0.6629324776797141,-0.7924360205497725,-1.2741750284785667,-0.35472216532031997,0.10044045808988589,-0.6885225492186896,-0.20270460429585155,-0.7890968314079021,0.0350637430025603,0.0006087408295544543,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,2.0766559657295187,0.0,-0.6,-0.7624928516630235
-1.318156438177106,-0.5770657192013131,-0.23610911070848847,-0.35472216532031997,-1.0011645661217656,-0.6885225492186896,-0.3289245798031501,0.24012819088508186,0.6717504483704432,-0.4133350232674745,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,1.6666666666666665,-0.7624928516630235
-0.00770851718232223,0.4997857875409835,-0.9281530558885407,0.28004381472656836,0.10044045808988589,-0.6885225492186896,-1.840489767131094,0.8601432645555541,0.6717504483704432,1.0354681510721269,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,1.6666666666666665,-0.7624928516630235
1.3027394038124616,0.9305263902379022,-0.23610911070848847,-0.35472216532031997,3.405255530724841,-0.6885225492186896,0.24205747555826998,0.4509333159330423,-0.5978104671235985,1.0354681510721269,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,-0.6,1.3114877048604001
1.3027394038124616,0.9305263902379022,0.8019568070615898,0.9148097947734567,1.2020454823015376,-0.6885225492186896,0.3324812683640641,0.4509333159330423,0.6717504483704432,0.4145525049265834,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,-0.6,1.3114877048604001
-0.6629324776797141,-1.0078063218982318,0.8019568070615898,-0.9894881453672083,-1.0011645661217656,1.8422630370986557,-0.5482036499102185,-1.2107070815038232,-1.2344971724914813,-1.448194433510047,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,-0.4815434123430768,0.0,1.6666666666666665,-0.7624928516630235
-0.00770851718232223,-0.5770657192013131,-1.2741750284785667,-0.35472216532031997,1.2020454823015376,-0.6885225492186896,-0.5958037885639061,-0.6898944196206266,-0.28137336206051905,0.20758062287806892,-0.2565749812494094,-0.23643312187173024,-0.26302545492234575,2.0766559657295187,0.0,-0.6,-0.7624928516630235
