Year,team,matches_played,goals_for,goals_against,wins,draws,losses,average_attendance,goals_per_match,win_percentage,goal_difference,confederation_AFC,confederation_CAF,confederation_CONCACAF,confederation_CONMEBOL,confederation_OFC,confederation_Other,confederation_UEFA,reached_semifinals
1998.0,Nigeria,4,6.0,9.0,2,0,2,47875.0,1.5,50.0,-3.0,False,True,False,False,False,False,False,0
1998.0,Norway,4,5.0,5.0,1,2,1,42900.0,1.25,25.0,0.0,False,False,False,False,False,True,False,0
1998.0,Paraguay,4,3.0,2.0,1,2,1,31425.0,0.75,25.0,1.0,False,False,False,True,False,False,False,0
1998.0,Romania,4,4.0,3.0,2,1,1,45350.0,1.0,50.0,1.0,False,False,False,False,False,True,False,0
1998.0,Saudi Arabia,3,2.0,7.0,0,1,2,49967.0,0.67,0.0,-5.0,True,False,False,False,False,False,False,0
1998.0,Scotland,3,2.0,6.0,0,1,2,47467.0,0.67,0.0,-4.0,False,False,False,False,False,True,False,0
1998.0,South Africa,3,3.0,6.0,0,2,1,40100.0,1.0,0.0,-3.0,False,True,False,False,False,False,False,0
1998.0,Spain,3,8.0,4.0,1,1,1,34733.0,2.67,33.3,4.0,False,False,False,False,False,False,True,0
1998.0,Tunisia,3,1.0,4.0,0,1,2,53933.0,0.33,0.0,-3.0,False,False,False,False,False,True,False,0
1998.0,United States,3,1.0,5.0,0,0,3,40033.0,0.33,0.0,-4.0,False,False,True,False,False,False,False,0
1998.0,Yugoslavia,4,5.0,4.0,2,1,1,34425.0,1.25,50.0,1.0,False,False,False,False,False,True,False,0
2002.0,Argentina,3,2.0,2.0,1,1,1,38585.0,0.67,33.3,0.0,False,False,False,True,False,False,False,0
2002.0,Belgium,4,6.0,7.0,1,2,1,45509.0,1.5,25.0,-1.0,False,False,False,False,False,False,True,0
2002.0,Brazil,7,18.0,4.0,7,0,0,46726.0,2.57,100.0,14.0,False,False,False,True,False,False,False,1
2002.0,Cameroon,3,2.0,3.0,1,1,1,44364.0,0.67,33.3,-1.0,False,True,False,False,False,False,False,0
2002.0,China PR,3,0.0,9.0,0,0,3,35857.0,0.0,0.0,-9.0,False,False,False,False,False,True,False,0
